OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1495287,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0976,2021/01/01 09:08:00+00
2,1495302,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,1,1A,0123,2021/01/01 09:41:00+00
3,1495313,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,4,4A,0918,2021/01/01 22:25:00+00
4,1495342,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0728,2021/01/01 11:06:00+00
5,1495345,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,6,6B,1401,2021/01/01 08:00:00+00
6,1495356,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,0906,2021/01/02 03:49:00+00
7,1495358,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,1,1A,0344,2021/01/01 09:12:00+00
8,1495380,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0409,2021/01/02 13:30:00+00
9,1495381,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5B,1603,2021/01/02 04:26:00+00
10,1495383,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0563,2021/01/02 02:16:00+00
11,1495384,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,3,3B,0746,2021/01/01 23:32:00+00
12,1495385,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2B,0553,2021/01/01 22:31:00+00
13,1495386,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2A,0221,2021/01/01 14:37:00+00
14,1495398,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2C,0603,2021/01/01 09:47:00+00
15,1495417,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,1406,2021/01/02 12:17:00+00
16,1495418,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,0551,2021/01/01 08:51:00+00
17,1495420,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2C,0603,2021/01/02 03:15:00+00
18,1495421,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,1,1A,0106,2021/01/02 05:03:00+00
19,1495422,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1369,2021/01/02 06:04:00+00
20,1495424,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1111,2021/01/02 05:00:00+00
21,1495426,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,0553,2021/01/01 08:18:00+00
22,1495430,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2C,0604,2021/01/02 01:59:00+00
23,1495440,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0302,2021/01/02 05:00:00+00
24,1495448,3599,0,NARCOTICS,11370.1(A) POSSESS WHILE ARMED,5,5A,1504,2021/01/01 08:13:00+00
25,1495452,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,0611,2021/01/02 06:14:00+00
26,1495459,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0426,2021/01/02 13:30:00+00
27,1495463,2299,10,BURGLARY,459 PC BURGLARY:UNSPECIFIED-MISD,6,6C,1406,2021/01/02 13:20:00+00
28,1495474,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5B,1602,2021/01/02 06:56:00+00
29,1495478,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,1,1C,0419,2021/01/02 05:04:00+00
30,1495482,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,1354,2021/01/01 10:40:00+00
31,1495483,5401,0,TRAFFIC,20002(A) HIT/RUN-PROP DAMAGE,4,4B,0969,2021/01/01 09:56:00+00
32,1495488,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0302,2021/01/02 04:00:00+00
33,1495494,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,6,6B,1064,2021/01/02 03:05:00+00
34,1495498,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,UI,UI,UI,2021/01/02 06:22:00+00
35,1495500,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1A,0106,2021/01/03 01:49:00+00
36,1495502,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3A,0704,2021/01/02 02:09:00+00
37,1495507,5305,1,PUBLIC PEACE,405B PC LYNCHING,3,3M,0732,2021/01/01 08:58:00+00
38,1495508,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0905,2021/01/02 17:01:00+00
39,1495510,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0532,2021/01/02 01:32:00+00
40,1495511,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0788,2021/01/03 03:51:00+00
41,1495512,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3M,0741,2021/01/03 01:40:00+00
42,1495514,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,6,6A,1051,2021/01/03 03:27:00+00
43,1495515,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0563,2021/01/03 05:33:00+00
44,1495524,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0557,2021/01/02 16:57:00+00
45,1495525,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,5,5A,1393,2021/01/01 09:15:00+00
46,1495528,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2A,0226,2021/01/02 23:30:00+00
47,1495531,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,2,2B,0563,2021/01/03 07:39:00+00
48,1495537,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,1,1A,0305,2021/01/03 02:32:00+00
49,1495538,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,0544,2021/01/03 02:58:00+00
50,1495539,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1A,0106,2021/01/02 21:00:00+00
51,1495540,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6E,0899,2021/01/02 12:39:00+00
52,1495541,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,5,5C,1647,2021/01/03 02:50:00+00
53,1495542,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0843,2021/01/03 10:30:00+00
54,1495544,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,0926,2021/01/03 08:00:00+00
55,1495545,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1604,2021/01/03 05:30:00+00
56,1495547,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0353,2021/01/03 00:00:00+00
57,1495566,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0718,2021/01/03 16:16:00+00
58,1495569,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0340,2021/01/03 04:00:00+00
59,1495570,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1441,2021/01/03 13:05:00+00
60,1495571,2099,9,ARSON,452(D)PC CAUSE FIRE OF PROPERT,2,2B,0545,2021/01/02 11:53:00+00
61,1495577,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,0214,2021/01/03 21:00:00+00
62,1495579,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0401,2021/01/03 18:30:00+00
63,1495581,5212,43,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,UI,UI,UI,2021/01/02 21:45:00+00
64,1495583,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,0506,2021/01/02 19:31:00+00
65,1495596,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,1371,2021/01/03 17:00:00+00
66,1495598,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1C,0406,2021/01/03 21:50:00+00
67,1495599,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1605,2021/01/03 08:41:00+00
68,1495600,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,0987,2021/01/02 22:40:00+00
69,1495605,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,6,6C,1445,2021/01/03 14:17:00+00
70,1495608,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1134,2021/01/02 15:20:00+00
71,1495609,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,6,6A,1034,2021/01/01 11:05:00+00
72,1495610,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,UI,2021/01/02 13:30:00+00
73,1495612,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2C,0603,2021/01/03 00:13:00+00
74,1495616,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,3,3A,0725,2021/01/02 01:12:00+00
75,1495618,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2021/01/03 02:31:00+00
76,1495619,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,0206,2021/01/03 07:59:00+00
77,1495620,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,0512,2021/01/03 07:27:00+00
78,1495624,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2021/01/03 00:14:00+00
79,1495626,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,0423,2021/01/03 02:17:00+00
80,1495627,2202,0,BURGLARY,459 PC BURGLARY:RESIDENCE-FORCE,4,4C,1294,2021/01/03 12:30:00+00
81,1495630,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4C,1331,2021/01/03 17:03:00+00
82,1495634,2204,0,BURGLARY,459 PC BURGLARY:RESIDENCE-NO FORCE,5,5B,1631,2021/01/03 11:00:00+00
83,1495641,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,0618,2021/01/03 23:24:00+00
84,1495642,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0705,2021/01/03 09:06:00+00
85,1495643,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,3,3B,0747,2021/01/03 07:07:00+00
86,1495644,5213,5B,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-M,6,6A,1062,2021/01/03 10:49:00+00
87,1495646,2203,0,BURGLARY,459 PC BURGLARY:BUSINESS-FORCE,2,2C,0622,2021/01/03 14:09:00+00
88,1495655,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1A,0336,2021/01/03 22:20:00+00
89,1495658,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,3,3M,0732,2021/01/03 23:48:00+00
90,1495660,5212,43,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,1,1C,0408,2021/01/04 02:13:00+00
91,1495661,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,0523,2021/01/03 05:48:00+00
92,1495666,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6D,0845,2021/01/03 00:25:00+00
93,1495667,2308,1,LARCENY,487(A) GRAND THEFT-INSIDE,6,6E,1101,2021/01/03 23:36:00+00
94,1495669,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,5,5A,1361,2021/01/01 18:58:00+00
95,1495671,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,6,6C,1146,2021/01/04 02:42:00+00
96,1495675,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,6,6D,0821,2021/01/03 13:32:00+00
97,1495676,5005,10,OBST JUDICIARY,166(C)(4) VIOL R/O W/PRIORS,4,4C,1311,2021/01/03 11:15:00+00
98,1495678,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1113,2021/01/04 02:44:00+00
99,1495685,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0541,2021/01/01 19:35:00+00
100,1495687,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6A,1001,2021/01/01 20:30:00+00
101,1495688,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5A,1361,2021/01/01 22:30:00+00
102,1495689,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,6,6E,0877,2021/01/01 21:55:00+00
103,1495690,2299,01,BURGLARY,459 PC BURGLARY:VEHICLE,3,3B,0737,2021/01/02 17:20:00+00
104,1495691,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,1131,2021/01/01 13:30:00+00
105,1495695,4801,0,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,0564,2021/01/03 23:20:00+00
106,1495696,3560,3,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,2,2B,0541,2021/01/04 06:21:00+00
107,1495697,2302,0,LARCENY,487(C) GRAND THEFT-PURSE SNTCH,2,2B,0563,2021/01/03 23:00:00+00
108,1495698,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,1102,2021/01/01 08:00:00+00
109,1495701,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0136,2021/01/02 01:00:00+00
